Issn;SJR Best Quartile
ISSN 09168532;Q3
-;-
-;-
ISSN 0233528X;Q3
ISSN 10001646;Q2
-;-
ISSN 15272052, 00425222;Q1
ISSN 10998012;Q3
ISSN 17517664, 14784637;Q3
ISSN 19765622;Q4
ISSN 16977920, 16977912;Q3
ISSN 1513718X;Q3
ISSN 15504816;-
ISSN 12860050, 12860042;Q3
-;-
ISSN 18230334;Q3
ISSN 10620303;Q2
ISSN 18756867;Q3
ISSN 20776772;Q3
ISSN 15245039;Q3
ISSN 19804415, 0103636X;Q3
ISSN 15765962;Q3
-;-
ISSN 00100730, 19891067;Q4
ISSN 1557458X, 15574571;Q3
ISSN 23176385, 16794508;Q3
-;-
ISSN 20438575, 20438567;Q1
-;-
ISSN 14791862, 09673237;Q3
ISSN 02510790;Q3
ISSN 15848574;Q2
ISSN 15444376, 03643107;Q3
ISSN 1567536X;Q3
ISSN 16839919;Q3
ISSN 10129367;Q4
ISSN 10004939;Q3
-;-
ISSN 20756674, 1025448X;Q3
ISSN 03854221;Q3
ISSN 09432779, 18620035;Q3
-;-
ISSN 15328759;Q3
ISSN 09670912;Q3
ISSN 01617249;Q2
ISSN 17426588, 17426596;Q4
ISSN 01003984;Q3
-;-
ISSN 00979805;Q3
ISSN 16936930, 2087278X;Q3
ISSN 20071124;Q3
ISSN 07930283;Q4
ISSN 15347524;Q3
ISSN 12045357;Q3
-;-
ISSN 1876214X;Q3
ISSN 10064982;Q2
ISSN 15367150, 00029246;Q3
ISSN 21970025;Q4
ISSN 1661464X;Q2
ISSN 21873240, 13472194;Q4
ISSN 00462616;Q1
ISSN 10045341;Q2
ISSN 13428810;Q3
ISSN 01002430;Q3
ISSN 11306343;Q3
ISSN 12251763;Q4
ISSN 23148055, 23148047;Q3
ISSN 09170480;Q3
ISSN 1740021X, 17400201;Q3
ISSN 22992944, 18973310;Q2
ISSN 2225157X, 19930461;Q3
-;-
-;-
-;-
ISSN 03045609;Q3
ISSN 17389976;Q3
-;-
-;-
ISSN 10485104;Q3
ISSN 21804222, 18236499;Q3
ISSN 01642006, 1642006;-
ISSN 15731979, 09251030;Q3
ISSN 18960596;Q3
-;-
ISSN 10163271;Q3
ISSN 20757182, 22217932;-
ISSN 01200488;Q4
ISSN 0350199X;Q3
ISSN 17533627, 17533635;Q2
ISSN 87556839;Q4
ISSN 1532172X, 10423915;Q3
-;-
ISSN 16802012;Q1
ISSN 10911359;Q2
-;-
ISSN 21911231, 1565012X;Q3
-;-
ISSN 09750320, 00303887;Q3
ISSN 13600834;Q3
ISSN 0716050X;Q3
-;-
ISSN 09737308, 09729984;Q3
-;-
ISSN 15391515;Q3
ISSN 17583217, 17583209;Q3
ISSN 1488237X, 12037796;Q3
-;-
ISSN 1477996X;Q2
ISSN 18104967, 18129358;Q3
ISSN 01916599;Q1
ISSN 00347612, 19823134;Q3
ISSN 21678707;Q3
-;-
-;-
ISSN 16712021, 20951922;Q2
ISSN 00133035;Q3
ISSN 19314485;Q2
ISSN 09024506;Q4
-;-
ISSN 13007599, 21470510;Q3
ISSN 10161430;Q3
ISSN 08436096;Q3
ISSN 15839583;Q3
ISSN 00376795;Q1
-;-
ISSN 19380259, 19380267;Q3
ISSN 15275949;Q4
ISSN 03617882;Q1
ISSN 00200883, 19883234;Q1
ISSN 22883886, 22883959;Q3
ISSN 00345806;Q1
ISSN 15772799, 16954033;Q3
ISSN 10286276;Q3
ISSN 15506002;-
ISSN 1818331X;Q4
ISSN 14780771;Q3
ISSN 15377938;Q2
ISSN 13522779, 14790793;Q2
ISSN 01455788, 21536619;Q2
ISSN 15740765;Q3
-;-
ISSN 0965092X;Q3
ISSN 19409052, 19409060;Q4
ISSN 14341220;Q3
ISSN 17939615, 17939623;Q4
ISSN 17426316, 03919714;Q1
ISSN 07161018;Q4
ISSN 15504646;Q2
-;-
-;-
ISSN 17466814;Q3
ISSN 00312746;Q1
ISSN 08408688;Q3
ISSN 21642958;-
ISSN 13003615;Q3
ISSN 18480586, 1330061X;Q3
ISSN 15787044;Q1
ISSN 1454234X;Q3
ISSN 1333896X;Q3
-;-
-;-
ISSN 21905983;Q4
ISSN 00224324, 21565457;Q4
ISSN 17440084;Q3
ISSN 18719805, 18719791;Q2
ISSN 15487725, 15487717;Q3
ISSN 20712227;Q3
ISSN 16977467;Q2
ISSN 1134928X;Q3
ISSN 22136541, 22136533;Q3
ISSN 15326888, 02739615;Q3
-;-
ISSN 18740707;Q4
ISSN 11677422;Q3
ISSN 21580715, 21580103;Q3
ISSN 00405760, 1573935X;Q3
-;-
-;-
ISSN 08873267, 15473333;Q4
ISSN 17478405, 17478413;Q3
ISSN 13439006;Q1
ISSN 15313220;Q3
ISSN 0972172X, 09768432;Q3
-;-
ISSN 10012400;Q3
ISSN 20508840, 20508859;Q3
ISSN 00318191;Q2
ISSN 17367522, 17366038;Q3
ISSN 17489539, 17489547;Q2
ISSN 15921107;Q3
ISSN 03850005;Q3
ISSN 15599450;-
ISSN 08736529;Q3
ISSN 15470423;Q3
ISSN 00472085;Q3
ISSN 09254560;Q2
ISSN 14755610;Q1
ISSN 15409481, 01609513;Q3
ISSN 20666845;Q3
-;-
ISSN 19980140;Q4
ISSN 10623701;Q3
ISSN 23063459, 2071789X;Q2
ISSN 00653268;Q3
ISSN 00347590;Q3
ISSN 14679833, 00472786;Q2
ISSN 19983654, 00195359;Q3
ISSN 17575672, 17575664;Q3
ISSN 18043119, 13361376;Q3
-;-
ISSN 09726527;Q3
ISSN 0970258X;Q3
ISSN 17522641, 1752265X;Q3
ISSN 19435916, 10558896;Q3
ISSN 21540217;-
ISSN 12297801;Q3
ISSN 14684330, 17418127;Q3
ISSN 19968523, 05568641;Q2
ISSN 19430787, 19430779;Q3
ISSN 18768202;Q3
ISSN 00221708;Q3
ISSN 20388322, 20388330;Q4
ISSN 14606739, 1741816X;Q3
-;-
ISSN 19767277;Q4
ISSN 1525383X;Q2
ISSN 15701646;Q4
-;-
ISSN 0007084X;Q3
ISSN 13320742;Q3
ISSN 20950349;Q3
ISSN 0975413X;Q3
ISSN 00200204;Q3
ISSN 17520479;Q3
ISSN 03361454;Q3
ISSN 17349338;Q3
ISSN 02198770, 17936950;Q4
ISSN 05635020;Q4
ISSN 22139095;Q3
-;-
-;-
ISSN 19423934, 19423926;Q4
ISSN 13163361;Q3
ISSN 13623699;Q4
ISSN 22472452;Q3
ISSN 10915397;Q3
ISSN 15502414, 08827524;Q3
ISSN 10834877, 15739139;Q3
ISSN 01672991;Q3
ISSN 05328799;Q3
-;-
ISSN 15409740;Q3
ISSN 00055506;Q3
-;-
ISSN 02785927;Q1
-;-
ISSN 01974254;Q2
ISSN 02786419;Q4
ISSN 18329101;Q2
-;-
ISSN 03263169;Q4
ISSN 13598678, 21534373;Q4
ISSN 10058885;Q4
ISSN 0112921X;Q3
ISSN 14602474, 00369543;Q1
ISSN 13580574;Q3
ISSN 14550725, 14586126;Q3
ISSN 17507235;Q4
ISSN 15538362;Q3
-;-
ISSN 1751200X, 17512018;Q3
ISSN 10787496;Q3
-;-
ISSN 15734013;Q3
ISSN 10893032;Q3
ISSN 13518372;Q3
ISSN 1742271X;Q3
ISSN 18634621;Q3
-;-
ISSN 15404153;Q3
ISSN 13576283, 14695804;Q3
ISSN 20428731, 17465729;Q3
ISSN 00195650, 09722068;Q3
ISSN 15278271, 10679847;Q1
ISSN 08156409;Q4
-;-
ISSN 18082882;Q4
-;-
ISSN 20086482, 20086490;Q3
ISSN 22351469, 00367818;Q3
ISSN 15551318, 1555130X;Q3
ISSN 15738906, 05431972;Q3
ISSN 2151562X, 21514798;Q3
-;-
ISSN 14136538;Q3
ISSN 05848555;Q4
ISSN 19351690;Q3
ISSN 18651348;Q3
ISSN 01650424;Q4
ISSN 00430978;Q3
ISSN 10840680;Q3
ISSN 10933611, 03346455;Q3
ISSN 19478186, 19478194;Q4
ISSN 19475136, 00963712;Q4
ISSN 00027766;Q3
-;-
ISSN 07517971, 17775809;Q3
ISSN 21731268;Q3
ISSN 00295922, 15085791;Q3
ISSN 13101331;Q2
-;-
ISSN 18832148, 18804276;Q3
ISSN 10042474;Q3
-;-
ISSN 10863265, 07381727;Q1
ISSN 1443458X;Q4
ISSN 17516455, 17516447;Q4
ISSN 20817452;Q3
ISSN 22117253, 22117245;Q2
ISSN 19907710;Q4
ISSN 23074108, 23074116;Q2
-;-
-;-
-;-
ISSN 13476068, 00214914;Q4
-;-
ISSN 1753495X;Q3
ISSN 01024744;Q3
ISSN 02533839;Q3
ISSN 13555502, 17500133;Q1
-;-
-;-
ISSN 14882159, 07098936;Q3
ISSN 15392937;Q3
ISSN 20487754;Q3
ISSN 1000324X;Q3
ISSN 10184619;Q3
ISSN 7347510;-
ISSN 17935571;Q4
ISSN 11099518;Q3
ISSN 05355133;Q3
ISSN 10158146;Q4
-;-
ISSN 00189855;Q3
ISSN 10496491;Q3
ISSN 22881220, 22878327;Q4
ISSN 15271935, 10474552;Q3
ISSN 03817032;Q4
ISSN 11241896;Q4
ISSN 13575279;Q3
-;-
-;-
ISSN 00266620;Q3
ISSN 07309384, 14715457;Q3
ISSN 22286160;Q3
ISSN 10636862;-
ISSN 14528258;Q3
ISSN 09765662;Q3
-;-
ISSN 02671611;Q4
ISSN 03063070;Q3
ISSN 11101164;Q3
ISSN 16744926;Q3
-;-
ISSN 17458099, 17458080;Q3
ISSN 13090801;Q3
ISSN 16052730;Q3
ISSN 10462937;Q1
-;-
ISSN 1735188X;Q3
ISSN 17586801, 1758681X;Q2
ISSN 01167111;Q3
ISSN 0250541X;Q3
ISSN 15623599;Q3
ISSN 03640094, 14754541;Q1
ISSN 14748479, 14748460;Q3
ISSN 19355688, 19355696;Q3
ISSN 09732284, 00195278, 19983670;Q4
ISSN 00368733;Q2
ISSN 1006852X;Q3
ISSN 15413446, 15527840;Q3
ISSN 10526188;Q3
ISSN 19378688;Q3
-;-
ISSN 18577415, 14097621;Q3
ISSN 09168524;Q3
ISSN 10431810;Q3
ISSN 16764285;Q3
ISSN 00049522, 14678497;Q1
ISSN 18212158, 18212638;Q4
ISSN 15984850;Q3
ISSN 15392422;Q3
ISSN 15736113, 15736105;Q3
ISSN 03349152;Q3
ISSN 10047220;Q4
ISSN 18195164;Q3
ISSN 14342758;Q2
ISSN 16469895;Q3
ISSN 16457250, 1646401X;Q3
ISSN 0930343X, 14350130;Q3
ISSN 10021582;Q4
ISSN 10068740;Q4
-;Q4
-;-
ISSN 15506533;-
ISSN 18622461;Q4
ISSN 1757207X, 17572088;Q3
ISSN 19826206;Q3
-;-
ISSN 04247558;Q3
ISSN 09240519, 01693441;Q3
ISSN 10492585;Q3
-;-
ISSN 00128775;Q3
-;-
ISSN 03264815;Q3
ISSN 2095087X;Q3
ISSN 10007571;Q3
ISSN 17881994;Q3
ISSN 03055000;Q3
-;-
-;-
ISSN 18196608;Q3
ISSN 07704518;Q3
ISSN 17523273, 17523281;Q3
ISSN 11105690;Q3
-;-
ISSN 13046020;Q3
ISSN 1822296X;-
ISSN 16438876;Q3
-;-
ISSN 10047301, 10001522;Q3
ISSN 03093913;Q3
ISSN 22398031;Q3
ISSN 01636545, 15341453;Q1
ISSN 12860107;Q3
-;-
ISSN 0935560X, 15271994;Q3
ISSN 18747647;Q3
ISSN 15263711;Q3
ISSN 1933527X;Q3
ISSN 15667529;Q3
ISSN 1787064X, 1786691X;Q3
ISSN 1809449X, 14132478;Q3
-;-
ISSN 01321447;Q2
ISSN 15564002;Q3
ISSN 10703284;Q3
ISSN 10611711, 16155939;Q3
ISSN 10001050;Q4
-;-
ISSN 10019332;Q4
ISSN 19349254, 19349262;Q3
ISSN 12254886;Q3
ISSN 04531906;Q3
ISSN 18764104, 18754104;Q3
ISSN 17538270;Q3
ISSN 12264873;Q3
ISSN 18915469;Q4
ISSN 22314261;Q3
ISSN 00089389;Q1
ISSN 19322798;Q1
ISSN 07177917;Q3
-;-
ISSN 09552367, 14692961;Q1
ISSN 14778386, 17418119;Q3
ISSN 00433144;Q3
ISSN 09376801, 03419835;Q3
-;-
ISSN 13921320;Q3
ISSN 11355948, 19897553;Q2
ISSN 19348398, 1068364X;Q3
ISSN 02131315, 1886158X;Q3
ISSN 17515637, 17515645;Q3
ISSN 19947941, 20772254;Q4
-;-
ISSN 13378384;Q2
ISSN 17922720;Q3
ISSN 00325422;Q3
ISSN 21593469;-
ISSN 00346446;Q2
ISSN 0867888X;Q3
ISSN 19768354;Q3
ISSN 19911599;Q3
ISSN 19745648, 20352468;Q3
ISSN 00382361;Q3
ISSN 00369330;Q3
ISSN 09714693;Q4
ISSN 1553779X, 21945756;Q3
ISSN 03355322;Q3
ISSN 10962883;Q3
ISSN 0097966X;-
ISSN 18626033, 2164604X;Q3
ISSN 0974391X;Q4
ISSN 21953597, 20953127;Q3
ISSN 22113355;Q4
ISSN 11219041;Q3
-;-
ISSN 1000565X;Q3
-;-
ISSN 22321640, 22321349;Q3
ISSN 01966324;Q3
ISSN 10227954, 16083369;Q4
ISSN 18951767;Q3
ISSN 00263788;Q3
-;-
ISSN 07179324, 07179707;Q3
ISSN 17460069, 17460077;Q4
ISSN 00282448;Q3
ISSN 1876391X;Q3
ISSN 09164804;Q4
ISSN 18655785;Q4
ISSN 07446314;Q3
-;-
ISSN 23040122;Q4
-;-
ISSN 17497221;Q3
-;-
-;-
ISSN 18448143, 18449166;Q3
ISSN 16802993;Q3
ISSN 1610742X, 16107438;Q3
ISSN 19139020;Q3
-;-
ISSN 00121533, 17461049;Q3
ISSN 21157863, 21158789;Q3
-;-
ISSN 9399585, 09399585;-
ISSN 13646885, 13600869;Q3
ISSN 09748237, 09769285;Q3
-;-
ISSN 11925604;Q3
ISSN 05831431;Q4
ISSN 14383608;Q3
ISSN 10053093;Q3
ISSN 00189235;Q3
ISSN 16914147, 16915534, 14078724;Q3
ISSN 10586768;Q3
ISSN 01284878;Q2
ISSN 23254173;-
ISSN 02659883;Q3
ISSN 18336914, 10300112;Q3
ISSN 00354066;Q3
ISSN 00357529;Q3
ISSN 10067736;Q3
-;-
ISSN 19414064, 19414072;Q3
ISSN 16863933, 2228835X;Q2
ISSN 21769079, 21775133;Q3
ISSN 00218944, 15738620;Q3
ISSN 18164927;Q4
ISSN 23258861;-
ISSN 13030485;Q3
ISSN 1439054X, 14329123;Q4
ISSN 00357715;Q4
ISSN 07176201, 0301732X;Q3
ISSN 21463077, 13006320;Q3
ISSN 09751033;Q4
-;-
ISSN 08677077;Q3
ISSN 01023772;Q3
ISSN 03248267;Q3
ISSN 00029157;Q3
-;-
ISSN 18692672, 18692680;Q3
ISSN 1006687X;Q3
ISSN 00475394;Q3
-;-
ISSN 18492266, 18455921;-
ISSN 17468817, 17468809;Q3
ISSN 10000593;Q3
-;-
-;-
ISSN 14330466, 00252514;Q3
ISSN 00116793;Q4
ISSN 10074619;Q3
ISSN 18674569, 18674577;Q4
ISSN 01213784;Q4
ISSN 15738973, 00260673;Q3
ISSN 1539591X, 15239896;Q3
ISSN 22195491;-
-;-
ISSN 03722929;Q3
ISSN 16583612;Q3
ISSN 04402413;Q4
ISSN 10889299;-
ISSN 23084367;-
-;-
ISSN 07907915;Q2
ISSN 15024873;Q4
ISSN 00218715, 15351882;Q2
-;-
ISSN 10067930;Q2
ISSN 2068696X;Q3
ISSN 00044822;Q4
-;-
ISSN 20905122, 20905130;Q3
-;-
-;-
ISSN 10282092;Q4
ISSN 1881803X;Q3
ISSN 17598885, 17598893;Q3
ISSN 15691497, 15691500;Q3
ISSN 00652415;Q4
ISSN 18786553;Q3
ISSN 0929693X;Q3
ISSN 18479758, 18485030;Q3
ISSN 08038740;Q3
ISSN 09320547;Q3
ISSN 20827571, 20843763;Q2
ISSN 03698963;Q4
ISSN 03675041, 1989953X;Q4
ISSN 17572428;Q3
ISSN 0112109X;Q3
-;-
-;-
ISSN 17905087;Q4
ISSN 00195200, 09756906;Q4
ISSN 18739857;Q2
-;-
-;-
ISSN 19946961, 19387806;Q2
ISSN 15193829;Q3
ISSN 10116370, 14617072;Q3
ISSN 10181806;Q4
ISSN 16145054, 16145046;Q4
ISSN 08914486, 15733416;Q3
ISSN 00140309, 14390302;Q3
ISSN 22027270;Q3
ISSN 0094243X;-
ISSN 00403598;Q3
ISSN 01472011;Q3
ISSN 07177518, 07161549;Q3
ISSN 00263206;Q1
-;-
ISSN 17587336, 17587328;Q3
ISSN 01931903, 19408315;Q3
ISSN 10089497;Q2
-;-
-;-
ISSN 17335566;Q2
-;-
ISSN 10845453;Q1
ISSN 14335158;Q2
ISSN 10683372, 19349378;Q4
ISSN 14544164;Q3
ISSN 01882503;Q3
ISSN 03924203;Q3
ISSN 00377317;Q3
ISSN 0967828X;Q3
ISSN 19831447, 01026933;Q3
ISSN 0888045X;Q3
ISSN 15406296, 10981616;Q3
ISSN 13092014, 13090720;Q3
ISSN 10158758;Q1
ISSN 12622788;Q4
ISSN 03636771;Q3
ISSN 1195096X;Q3
ISSN 18463363, 13310194;Q3
ISSN 00472212;Q1
ISSN 18744532;Q4
ISSN 09750185;Q3
ISSN 08631808;Q3
ISSN 1662680X;Q3
-;-
ISSN 15405931, 00223840;Q1
-;-
ISSN 15381943, 15360644;Q3
ISSN 10000054;Q3
ISSN 11104902;Q3
ISSN 15489949, 00107484;Q1
-;-
ISSN 20084072, 20082053;Q3
ISSN 20929862, 20933797;Q4
ISSN 00135852;Q3
ISSN 10039775;Q3
ISSN 0033698X;Q2
ISSN 18410464;Q1
ISSN 23297204;-
-;-
-;-
-;-
ISSN 18824749, 18822398;Q3
ISSN 16122909, 18600824;Q3
ISSN 19758359;Q3
-;-
-;-
ISSN 0013838X;Q1
ISSN 18690459;Q3
ISSN 10232141;Q4
ISSN 12100420;Q4
ISSN 14321963, 01728113;Q4
ISSN 03044092;Q2
-;-
ISSN 19356226;Q3
ISSN 21686831;Q3
ISSN 13422618, 03864812;Q3
ISSN 15715027;Q3
ISSN 00411868;Q3
-;-
-;-
ISSN 14385627;Q3
ISSN 10382569;Q3
ISSN 01527401;Q3
ISSN 17511070, 17511062;Q3
ISSN 14793903, 1479389X;Q3
-;-
ISSN 17438187, 17438195;Q3
ISSN 00016640;Q3
ISSN 10193316;Q2
ISSN 10000909;Q3
ISSN 00243922, 11320214;Q2
ISSN 15508390;Q3
ISSN 07491409, 2152999X;Q3
ISSN 10262296;Q4
ISSN 23071885, 23071877;Q3
ISSN 01239155;Q3
ISSN 09721665;Q3
ISSN 11082976;Q3
ISSN 00794236, 17458137;Q2
ISSN 20082398, 20082401;Q3
ISSN 0011748X;Q3
ISSN 18193455;Q3
ISSN 2090598X, 20905998;Q3
ISSN 00173916;Q1
-;-
ISSN 21804230, 16753402;Q3
ISSN 18700462;Q4
ISSN 13613723;Q3
ISSN 09769234, 22297723;Q3
ISSN 13307533;Q4
ISSN 19947887;Q3
ISSN 16812824;Q4
ISSN 14770385, 09683445;Q1
ISSN 15881210, 00250228;Q2
ISSN 07858760;Q4
-;-
ISSN 15487741;Q3
ISSN 11376627;Q3
-;-
ISSN 00181196;Q1
ISSN 03771237;Q3
ISSN 18884415, 19888856;Q3
ISSN 15555879;Q3
ISSN 19433883, 19433875;Q3
ISSN 19389787;Q4
ISSN 00099074;Q3
ISSN 09715215;Q2
ISSN 14677954;Q3
ISSN 15350770;Q2
ISSN 16089685;Q3
ISSN 18328105;Q3
ISSN 01651153, 20412827;Q1
ISSN 18741495;Q3
ISSN 03538109;Q3
ISSN 03012298;Q3
ISSN 1588273X, 01333852;Q4
ISSN 01964399;Q3
ISSN 17529646, 17529638;Q3
ISSN 00205346;Q3
ISSN 11662654, 20514190;Q3
ISSN 00694827;Q3
ISSN 17418461, 17418453;Q4
ISSN 20687613, 1582456X;Q3
ISSN 18258689, 22396330;Q1
ISSN 0018277X;Q3
ISSN 03449327;Q3
ISSN 01041282;Q4
-;-
ISSN 09738703;Q3
ISSN 17434629, 14603780;Q3
ISSN 15587460, 15587452;Q4
ISSN 00094722;Q3
ISSN 02136686;Q4
ISSN 20780303;Q1
ISSN 1179559X;Q3
ISSN 18725457;Q1
-;-
ISSN 15781879, 02149168;Q3
ISSN 22178066, 1450569X;Q1
-;-
ISSN 1682296X, 16822978;Q3
ISSN 13159518;Q3
ISSN 10496475, 15403580;Q3
-;-
ISSN 12264709;Q4
-;-
ISSN 00471917;Q3
ISSN 18638155, 18638163;Q3
ISSN 13663666;Q3
-;-
ISSN 13142704;-
ISSN 1000436X;Q4
-;-
ISSN 10007466;Q3
ISSN 14716933, 02690403;Q2
ISSN 21464138, 21644138;Q3
ISSN 16805194;Q3
ISSN 2213297X;Q3
ISSN 03012212;Q4
ISSN 15830039;Q1
ISSN 0367598X;Q3
ISSN 14158426, 19800037;Q4
ISSN 15501841, 07415206;Q2
ISSN 03080838;Q4
ISSN 10704272, 16083296;Q3
ISSN 10010505;Q3
-;-
ISSN 14656620, 17415322;Q3
ISSN 15563499;Q2
ISSN 15505235;-
ISSN 20008066;Q3
ISSN 02229617;Q3
-;-
ISSN 07176236, 02507161;Q3
ISSN 00026980;Q3
ISSN 21852766;Q3
ISSN 09757058;Q3
ISSN 17389445;-
-;-
ISSN 1016264X;Q3
-;-
ISSN 19997671, 19943032;Q3
ISSN 0143781X;Q1
ISSN 00445401;Q4
ISSN 1555340X, 15553396;Q3
ISSN 1640629X;Q4
ISSN 02102412;Q3
ISSN 1368504X;Q3
ISSN 21699763, 2169978X;Q3
ISSN 17550785, 17550777;Q4
-;-
ISSN 14370980, 01715445;Q2
ISSN 13301144;Q3
ISSN 10093443;Q4
ISSN 10259848;Q4
ISSN 00402508;Q3
ISSN 10453695;Q4
ISSN 02500167, 17535379;Q3
ISSN 07170297;Q3
ISSN 17654629;Q3
ISSN 00202940;Q4
ISSN 03789098;Q3
-;-
ISSN 13147471, 13143859;Q3
ISSN 17415039, 13684892;Q3
ISSN 19844905, 01043579;Q4
ISSN 18410413;Q3
ISSN 00379603;Q3
-;-
ISSN 15404102, 10454446;Q3
ISSN 16904648;Q4
ISSN 23256095;Q3
ISSN 12120634, 12126861;Q3
-;-
ISSN 18276806;Q3
ISSN 15435865;Q3
ISSN 13317768, 13317776;Q3
-;-
ISSN 07387806;Q4
ISSN 0976044X;Q3
ISSN 17595150;Q3
ISSN 09482393, 14391651;Q3
ISSN 09168753;Q3
-;-
ISSN 10586180;Q3
ISSN 00218286;Q3
ISSN 05396115, 16651146;Q3
-;-
ISSN 14781158;Q3
ISSN 15462005, 15461998;Q3
ISSN 01988719;Q3
ISSN 03794350;Q3
ISSN 18786529;Q4
ISSN 17515858, 17515866;Q4
ISSN 10049037;Q4
-;-
-;-
ISSN 17500044, 17500052;Q3
ISSN 1913200X;Q2
ISSN 00081078;Q4
ISSN 0104530X;Q3
ISSN 15374661;Q3
ISSN 13138502;-
ISSN 04156412, 14394359;Q3
ISSN 09601406, 17415268;Q3
ISSN 11786418;Q4
-;-
ISSN 15362426, 19360835;Q1
ISSN 10653090;Q3
ISSN 10613749;Q3
-;-
-;-
ISSN 00028045;Q3
ISSN 19302983, 19302991;Q3
ISSN 08406286;Q1
ISSN 07185006;Q3
ISSN 0003469X;Q3
ISSN 17595681, 17595673;Q3
ISSN 02537141;Q3
ISSN 15378039, 15378020;Q3
ISSN 11795476;Q3
ISSN 15131874;Q3
ISSN 10158154;Q3
ISSN 1697011X;Q3
ISSN 09666532;Q3
ISSN 19954212, 19954220;Q3
ISSN 17415403, 1741539X;Q4
ISSN 09483276;Q3
-;-
ISSN 00292001, 08077096;Q3
ISSN 10375783;Q3
ISSN 20788312, 20760507;Q3
ISSN 01016083;Q3
ISSN 1555385X, 08970823;Q4
ISSN 17500672, 17500664;Q3
ISSN 00347531, 15613119;Q3
ISSN 10008721;Q3
ISSN 17453232;Q3
ISSN 09720073;Q2
ISSN 18763960;Q4
ISSN 05333164;Q3
ISSN 21653585;-
ISSN 21603006, 21602999;Q3
-;-
ISSN 00236942;Q1
ISSN 12342238;Q2
-;-
ISSN 11152613;Q3
-;-
ISSN 00384909;Q4
ISSN 17559766, 17559758;Q3
ISSN 19782993;Q4
ISSN 13087800;Q3
ISSN 0970020X;Q3
ISSN 03037339;Q4
-;-
ISSN 09750215;Q3
ISSN 09738711;Q4
ISSN 03323102;Q3
ISSN 22286179;Q3
ISSN 21556938, 21556946;-
ISSN 20793537;Q4
ISSN 14304031;Q3
ISSN 02703181, 15413152;Q3
ISSN 0187893X, 18708404;Q3
-;-
-;-
ISSN 04655893;Q4
ISSN 15414167, 15210251;Q3
ISSN 17102774;Q3
ISSN 15825175;Q3
ISSN 09528229;Q3
ISSN 1179545X;Q4
ISSN 18195644;Q1
-;-
ISSN 00306657;Q3
-;-
ISSN 18415261;Q2
-;-
ISSN 18323804;Q3
ISSN 1942647X;-
ISSN 1046283X;Q4
ISSN 08966346, 13053299;Q1
ISSN 15513955, 15513963;Q4
ISSN 17475732;Q3
-;-
ISSN 15401391, 15401383;Q3
ISSN 0254508X;Q2
ISSN 01987429;Q3
ISSN 17355133;Q4
ISSN 03605949, 15330699;Q1
ISSN 16875680, 16875699;Q3
ISSN 10538364;Q2
ISSN 12103055;Q2
ISSN 15297713;Q3
ISSN 10731849;Q4
ISSN 18446035, 20672128;Q3
ISSN 1874155X;Q3
ISSN 0961754X, 15384578;Q1
ISSN 09240608;Q1
ISSN 17568250;Q3
ISSN 03758990, 00188166;Q3
ISSN 00393371;Q3
ISSN 02768976;Q3
ISSN 00305707;Q4
ISSN 0013063X, 15729982;Q3
ISSN 18173721;Q4
-;-
ISSN 21694362;-
ISSN 02546450;Q3
ISSN 15413543, 01976931;Q2
ISSN 09757619;Q4
ISSN 03258203;Q3
ISSN 20515030;Q3
ISSN 02109778, 19883307;Q4
ISSN 01027786;Q4
-;-
ISSN 20497776, 10350772;Q3
ISSN 13803603;Q1
ISSN 19916426, 18184952;Q3
ISSN 0740770X, 17485819;Q1
ISSN 14361957;Q3
ISSN 09757651, 09766952;Q3
-;-
-;-
ISSN 03779343;Q3
ISSN 15452921;Q3
ISSN 15398285;Q4
ISSN 10642277;Q3
-;-
ISSN 15847284;Q4
ISSN 13872834;Q4
-;-
-;-
ISSN 03942864;Q3
ISSN 09755071;Q3
ISSN 03666913;Q3
ISSN 08619255;Q3
ISSN 01044036;Q3
ISSN 14631180;Q3
ISSN 16544951, 16546369;Q3
ISSN 1681715X, 1682024X;Q3
ISSN 0046208X;Q1
-;-
-;-
ISSN 09144935;Q3
ISSN 2724693, 15223965;-
ISSN 17290341;Q3
ISSN 14668297, 17415241;Q3
ISSN 16879325, 16879333;Q3
ISSN 10062467;Q3
ISSN 20112084, 20117922;Q4
-;-
ISSN 16419251, 20813252;Q3
ISSN 17085284;Q3
-;-
-;-
ISSN 1364436X;Q1
-;-
-;-
ISSN 11391375;Q3
ISSN 18722636, 1872261X;Q1
ISSN 18833578;Q3
ISSN 09315195;Q3
-;-
ISSN 12291374;Q2
ISSN 00792047;Q4
ISSN 09741496;Q3
ISSN 18575625, 18575552, 03500136;Q3
ISSN 22181903, 16077970;Q3
ISSN 0379153X;Q3
ISSN 10163476;Q2
ISSN 19962126, 02587203;Q3
ISSN 19430582, 19430590;Q3
ISSN 19061714;Q3
ISSN 02533766;Q3
-;-
-;-
-;-
ISSN 00087475;Q4
ISSN 21936218, 21936226;Q3
-;-
ISSN 00219142;Q4
ISSN 09718966;Q3
ISSN 15248879;Q3
ISSN 18121837;Q4
ISSN 1006396X;Q3
-;-
ISSN 07901763;Q3
ISSN 17548918, 1754890X;Q3
ISSN 00232513;Q3
-;-
ISSN 17538076, 17538068;Q3
ISSN 00215015;Q3
-;-
-;-
-;-
ISSN 10003304;Q3
ISSN 22106820, 22106812;Q3
ISSN 16712838;Q3
