Title,Source title,DOI,Link,Affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Document Type,Source,EID
"Neuro psychiatry 1943: The role of documentary film in the dissemination of medical knowledge and promotion of the U.K. psychiatric profession","Journal of the History of Medicine and Allied Sciences",10.1093/jhmas/jrs067,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899863831&doi=10.1093%2fjhmas%2fjrs067&partnerID=40&md5=d91e4a9f2d33d3269ca50a9d95a95f29","Institute of Psychiatry, Weston Education Centre, King's College London, 10 Cutcombe Road, London SE5 9RJ, United Kingdom","In 1943, Basil Wright produced a documentary film about the treatment of servicemen and civilians with psychological disorders at Mill Hill Emergency Medical Service Hospital. Funded by the Ministry of Information, Neuro Psychiatry was shot to convince influential clinicians and policy makers in North America that the British had developed expertise in the management of psychiatric casualties. By emphasizing novel and apparently effective interventions and excluding severe or intractable cases from the film, Wright encouraged an optimistic sense of achievement. Filmed at a time when victory was considered an eventual outcome, the picture presented a health service to which all had access without charge. Children and unemployed women, two groups excluded under the 1911 National Insurance Act, had been required to pay for healthcare in the prewar period and were shown receiving free treatment from the Emergency Medical Service. However, the therapeutic optimism presented in the film proved premature. Most U.K. battle casualties arose in the latter half of the conflict and follow-up studies failed to confirm the positive outcome statistics reported in the film. Aubrey Lewis, clinical director of the hospital, criticized research projects conducted at Mill Hill for a lack of rigor. The cinematographic skills of Wright and director Michael Hankinson, together with their reformist agenda, created a clinical presentation that emphasized achievements without acknowledging the limitations not only of the therapies offered by doctors but also the resources available to a nation at war. © The Author 2012.","conversion disorder; medical education; medical film; neuropsychiatry; psychiatric profession; psychological disorders","audiovisual equipment; history; human; information dissemination; psychiatry; United Kingdom; war; Great Britain; History, 20th Century; Humans; Information Dissemination; Motion Pictures as Topic; Psychiatry; World War II","086071/Z/08/Z, Wellcome Trust",,00225045,,JHMAA,23134695,"English",Article,Scopus,2-s2.0-84899863831
"Functions and privileges of the ""externes des hôpitaux de Paris"" (1802-1968) [Fonctions et privilèges des externes des hôpitaux de Paris (1802-1968)]","Revue du Praticien",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894108214&partnerID=40&md5=f8f6b2cc9b683d816156f565975f318b","40, rue d'Alleray, 75015 Paris, France",[No abstract available],,"History, 19th Century; History, 20th Century; Hospitals, Urban; Humans; Internship and Residency; Medical Staff; Medical Staff Privileges; Paris; World War I",,,00352640,,REPRA,24649566,"French",Review,Scopus,2-s2.0-84894108214
"Collaborative publishing in digital history","OCLC Systems and Services",10.1108/OCLC-02-2014-0010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927521834&doi=10.1108%2fOCLC-02-2014-0010&partnerID=40&md5=2dd5930f2eb95c53e3fd669203ddc3e4","Walker Library, Middle Tennessee State University, Murfreesboro, TN, United States","Purpose – The purpose of this article is to provide examples of how partnerships can be used to build innovative digital collections. Design/methodology/approach – This article explores multiple aspects of Middle Tennessee State University’s (MTSU) Walker Library’s partnerships with the Center for Historic Preservation and MTSU’s graduate program in public history. Specific topics covered include pairing interpretive essays with groups of highly relevant images to engage students, incorporating responsive design to encourage use of mobile devices and creating an interactive map that links locations to digital content. Findings – By strengthening existing partnerships and proactively seeking new opportunities, libraries that do not have unique primary source collections can take a leading role in publishing digital history collections. Historians have been vital to the success of the Library’s digital projects, particularly those that incorporate multiple layers of historical context. Originality/value – This is one of the few articles about digital collections to cover responsive Web design (particularly within CONTENTdm), partnerships between libraries and public history academic programs and the value of multiple layers of historical context (metadata, essays matched with images and lesson plans). © Emerald Group Publishing Limited.","Collaborative digitization; CONTENTdm; Digital collections; LAMs; Public history; Web design","Design; Digital devices; Digital libraries; Historic preservation; History; Libraries; Mobile devices; Social networking (online); Websites; World Wide Web; CONTENTdm; Design/methodology/approach; Digital collections; Graduate program; Interactive maps; LAMs; Middle Tennessee State University; Responsive designs; Web Design",,,1065075X,,,,"English",Article,Scopus,2-s2.0-84927521834
"The fate of polish psychiatry under german occupation during world war II [Das Schicksal der polnischen Psychiatrie unter deutscher Besatzung im Zweiten Weltkrieg]","Psychiatrische Praxis",10.1055/s-0034-1370066,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903774953&doi=10.1055%2fs-0034-1370066&partnerID=40&md5=68eb2accd7ed1b20fc92fe263c5c76b0","LVR-Klinik Langenfeld, Kölner Strae 82, 40764 Langenfeld, Germany","Polish psychiatry was since its origin deeply influenced by German (Austrian) and Russian psychiatry. After the German assault Polish psychiatric patients were the first victims of mass executions, and the first to be killed by new developed gassing technology. Especially cruel was the fate of Jewish patients. German health policy in occupied Poland was only starvation or shooting. Some hospitals continued working under German rule and received patients from Germany in the framework of Nazi-euthanasia. The article describes the mostly ignored facts of the close link between the medical programme of annihilation of the unfit and the genocide of Poles and Jews. © Georg Thieme Verlag KG Stuttgart, New York.","genocide; holocaust; Nazi-Euthanasia; patient-killing by gas; Poland","destruction; euthanasia; genocide; Germany; health care policy; human; Jew; mental patient; occupation; Poland; psychiatry; review; starvation; war; history; holocaust; political system; psychiatry; Euthanasia; History, 20th Century; Holocaust; Humans; Jews; National Socialism; Poland; Psychiatry; World War II",,,03034259,,PSPXA,24983580,"German",Review,Scopus,2-s2.0-84903774953
"The historian's competence tested by authority: On an academic debate of the 18th century [La Compétence Historienne à L'Épreuve de L'Autorité. Un Débat Académique au XVIIIe Siècle]","Revue de Synthese",10.1007/s11873-014-0245-z,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901616136&doi=10.1007%2fs11873-014-0245-z&partnerID=40&md5=9daff3826ae8dd1e53116f8b66776bc6","UMR 5186, Université Montpellier 3, site Saint-Charles, Route de Mende, F-34199 Montpellier cedex 5, France","The debate which took place in the 1720s at the Royal Academy of Inscriptions and Letters on the possibility or impossibility of understanding the history of the first centuries of Rome is generally interpreted to be less of a debate than an important epistemological clarification. A contextualization which takes into account the political stakes of the debate allows one to understand that the debate was the beginning of a larger process of the autonomisation of the field of historical studies, not only from the perspective of disciplinary divides, but also in relation to monarchal power. © 2014 Springer-Verlag France.","Academy; epistemology; history; politics","article; conflict; cultural anthropology; France; history; human; organization; philosophy; Academies and Institutes; Dissent and Disputes; France; History, 18th Century; Humans; Philosophy; Roman World",,,00351776,,,24871882,"English; French; German",Article,Scopus,2-s2.0-84901616136
"National transportation planning: Lessons from the u.s. interstate highways","Transport Policy",10.1016/j.tranpol.2013.11.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891445613&doi=10.1016%2fj.tranpol.2013.11.003&partnerID=40&md5=3db4d2c86c2e056ae47baaac9199ed76","Sol Price School of Public Policy, University of Southern California, Los Angeles, CA 90089-0626, United States","As developing countries rapidly adopt the automobile, questions of how they should build transportation institutions and policies loom large. This paper interprets from the U.S. experience with national highway construction, drawing several lessons that are pertinent both in developing and developed countries. In the U.S., the 1956 Interstate Highway Act codified a national road building program with centralized, federal leadership, financed by fuel taxes and hence designed to serve motorists, with little appreciation for the resulting impacts on cities and metropolitan areas. The U.S. experience illustrates that national transportation planning is best conceived as two systems - one inter-metropolitan and one intra-metropolitan - and that the institutions, goals, methods, and financing instruments for those two systems should differ. The U.S. institutions and policies were well suited to building a national, inter-metropolitan ground transport system, but are ill suited to the era of maintenance, externality management, and urban transportation that followed. © 2013 Elsevier Ltd.","Developing countries; Interstate highways; Transportation history","developing world; metropolitan area; road construction; road transport; transportation planning; transportation policy; urban transport; United States",,,0967070X,,,,"English",Article,Scopus,2-s2.0-84891445613
"General anesthesia for the heaviest man in the world","Saudi Journal of Anaesthesia",10.4103/1658-354X.144087,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911415269&doi=10.4103%2f1658-354X.144087&partnerID=40&md5=0132df8c75eb201e641480cc30fff5d1","Department of Anesthesiology, King Fahad Medical City, Riyadh, Saudi Arabia; Department of Anesthesiology, University of Virginia, Charlottesville, VA, United States","The prevalence of obesity has increased greatly over the last 20 years, resulting in an increase in the number of bariatric and nonbariatric surgeries in this population. We present the case of a 20-year-old male, weighing 610 kg (1345 lb), and believed to be the heaviest living man in the world. After 4 months of rigorous in-hospital weight reduction, now weighing 510 kg (1125 lb), he underwent a laparoscopic gastric sleeve procedure under general anesthesia. This report describes the management of his anesthetic and exemplifies the challenges associated with this patient population.","Anesthesia; Guinness world records; heaviest man; obesity","desflurane; dexamethasone; diclofenac; fentanyl; granisetron; heparin; metoclopramide; omeprazole; paracetamol; propofol; ranitidine; remifentanil; rocuronium; sugammadex; adult; anesthesia induction; Article; behavior therapy; bispectral index; breathing exercise; caloric intake; case report; clinical evaluation; deep vein thrombosis; depression; diet therapy; endotracheal intubation; gastric sleeve; general anesthesia; general device; human; hyperinsulinemia; immobilization; insulinoma; laparoscopic surgery; lifter; male; medical history; mental deficiency; obesity; pancreas resection; physiotherapy; positive end expiratory pressure; postoperative pain; premedication; preoperative evaluation; psychologic assessment; Saudi Arabia; seizure; sleep disordered breathing; sleeve gastrectomy; spirometry; treatment outcome; videolaryngoscope; weight reduction; young adult",,,1658354X,,,,"English",Article,Scopus,2-s2.0-84911415269
"History and its poetic images in the poetry of Luljeta Lleshanaku and Yehuda Amichai","Mediterranean Journal of Social Sciences",10.5901/mjss.2014.v5n20p2440,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907284197&doi=10.5901%2fmjss.2014.v5n20p2440&partnerID=40&md5=8d80ecbf2ea30d6a8a7765e441e14919","Aleksandër Moisiu University, Albania","This article focuses on contemporary Albanian poetry and on its development during the last decade of the twentieth century when the communist regime in Albania collapsed. The article aims to give a path for further analysis on the poetry written after the 1990s which is a period that offered different and very important perspectives for Albanian literature. The development of Albanian poetry during this time and during the first decades of the 21st century, as well as its representation abroad through translation, is closely linked to the name of one of the main spokespersons of contemporary Albanian poetry Luljeta Lleshanaku. The article focuses on the poetic images and perceptions of history in Lleshanaku’s poetry and analyzes the specific poetic images and literary configurations deriving from it. The paper also designates a possible path of comparative approach with the poetry of an eminent Israeli writer of the second half of the twentieth century such as Yehuda Amichai, which is probably one of the most important influences in Lleshanaku’s poetics. The vision about the world and particularly the vision on history as well as the artistic sensitivity that are a constant underscoring of the poetic images of Lleshanaku’s and Amichai’s poetry seem to approach two poets that belong to different cultural, political and social contexts. © MCSER-Mediterranean Center of Social and Educational Research.","Contemporary poetry; History; Memory; Poetry; World literature",,,,20399340,,,,"English",Article,Scopus,2-s2.0-84907284197
"Has the teaching paradigm shifted? the future of education in the digital world","Journal of Hand Surgery",10.1016/j.jhsa.2014.03.029,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901397875&doi=10.1016%2fj.jhsa.2014.03.029&partnerID=40&md5=8430126a0b07e9f05ad0c702e821d3e4","Medical Office Center, Warren Alpert Medical School, Brown University, Providence, RI, United States",[No abstract available],,"editorial; education program; hand surgery; health educator; human; medical history; medical society; medical student; priority journal; simulation; skill retention; surgical approach; surgical training; world health organization; curriculum; education; education; forecasting; hand; medical education; organization; orthopedic surgery; surgery; teaching; trends; United States; Computer-Assisted Instruction; Curriculum; Education, Distance; Education, Medical; Forecasting; Hand; Humans; Organizational Objectives; Orthopedic Procedures; Societies, Medical; Teaching; United States",,,03635023,,JHSUD,24862113,"English",Editorial,Scopus,2-s2.0-84901397875
"Pulse pressure and type A acute aortic dissection in-hospital outcomes (from the International Registry of Acute Aortic Dissection)","American Journal of Cardiology",10.1016/j.amjcard.2013.12.037,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896048556&doi=10.1016%2fj.amjcard.2013.12.037&partnerID=40&md5=5b8cd4e3ed9018e8a6f363403f0193c1","Cardiovascular Center, University of Michigan, Ann Arbor, MI, United States; Division of Medical Genetics, University of Pennsylvania, Philadelphia, PA, United States; Department of Cardiothoracic Surgery, University of Vienna, Vienna, Austria; Department of Cardiology and Pulmonology, Robert-Bosch Krankenhaus, Stuttgart, Germany; Cardiology Division, University of Salerno, Salerno, Italy; Departments of Cardiac Sciences, Medicine and Radiology, University of Calgary, Calgary, AB, Canada; Division of Cardiac Surgery, St. Michael's Hospital, Toronto, ON, Canada; Department of Cardiovascular Medicine, University of Tokyo, Tokyo, Japan; Division of Cardiovascular Surgery, Mayo Clinic, Rochester, MN, United States; Department of Cardiac Surgery, Hospital Universitario 12 de Octubre, Madrid, Spain; Thoracic Aortic Center, Massachusetts General Hospital, Boston, MA, United States; Department of Internal Medicine, University of Rostock, Rostock, Germany","Little is known about the relation between type A acute aortic dissection (TAAAD) and pulse pressure (PP), defined as the difference between systolic and diastolic blood pressure. In this study, we explored the association between PP and presentation, complications, and outcomes of patients with TAAAD. PP at hospital presentation was used to divide 1,960 patients with noniatrogenic TAAAD into quartiles: narrowed (≤39 mm Hg, n = 430), normal (40 to 56 mm Hg, n = 554), mildly elevated (57 to 75 mm Hg, n = 490), and markedly elevated (≥76 mm Hg, n = 486). Variables relating to index presentation and in-hospital outcomes were analyzed. Patients with TAAAD in the narrowed PP quartiles were frequently older and Caucasian, whereas patients with markedly elevated PPs tended to be male and have a history of hypertension. Patients who demonstrated abdominal vessel involvement more commonly demonstrated elevated PPs, whereas patients with narrowed PPs were more likely to have periaortic hematoma and/or pericardial effusion. Narrowed PPs were also correlated with greater incidences of hypotension, cardiac tamponade, and mortality. Patients with TAAAD who were managed with endovascular and hybrid procedures and those with renal failure tended to have markedly elevated PPs. No difference in aortic regurgitation at presentation was noted among groups. In conclusion, patients with TAAAD in the third PP quartile had better in-hospital outcomes than patients in the lowest quartile. Patients with narrowed PPs experienced more cardiac complications, particularly cardiac tamponade, whereas those with markedly elevated PPs were more likely to have abdominal aortic involvement. Presenting PP offers a clue to different manifestations of acute aortic dissection that may facilitate initial triage and care. © 2014 Elsevier Inc. All rights reserved.",,"adult; aged; aorta dissection; aorta valve regurgitation; article; cardiovascular mortality; cardiovascular parameters; clinical feature; controlled study; diastolic blood pressure; disease association; female; heart disease; heart tamponade; hematoma; hospital admission; hospital patient; human; hybrid; hypertension; hypotension; incidence; kidney failure; major clinical study; male; medical history; middle aged; outcome assessment; periaortic hematoma; pericardial effusion; postoperative complication; priority journal; pulse pressure; systolic blood pressure; type a acute aortic dissection; Acute Disease; Aneurysm, Dissecting; Aortic Aneurysm, Thoracic; Blood Pressure; Cardiac Tamponade; Female; Follow-Up Studies; Hospital Mortality; Humans; Incidence; Male; Middle Aged; Registries; Retrospective Studies; World Health","Medtronic",,00029149,,AJCDA,24521716,"English",Article,Scopus,2-s2.0-84896048556
"Overview of research on the mental health impact of violence in the middle east in light of the arab spring","Journal of Nervous and Mental Disease",10.1097/NMD.0000000000000174,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907423760&doi=10.1097%2fNMD.0000000000000174&partnerID=40&md5=4d04097b665f12a9ca9832af7c64b86f","Harvard Program in Refugee Trauma, Massachusetts General Hospital, Harvard Medical School, 22 Putnam Ave, Cambridge, MA 02139, United States; United Arab Emirates University, Al-Ain, United Arab Emirates","This is a baseline of published research in the trauma field by Arab researchers. It highlights groundbreaking attempts by Arab researchers to investigate the mental health impact of violence in their countries before the Arab Spring. Peer-reviewed articles (N = 157) were identified through computerized searches in PubMed, PsycINFO, Google Scholar, and Pilots Database, 1995 to 2012. A synopsis of the published research included a) country, b) screening instruments, c) sample size, d) methods, and e) results. The findings reveal that domestic violence attracted most attention after civil strife in Palestine and Lebanon. Torture survivors and victims of sexual violence received little attention. Study instruments were borrowed from Western researchers without being validated within local Arab cultures. No clinical outcome studies were found. In light of the Arab Spring, it is urgent that Arab researchers conduct studies that are evidence based and culturally valid addressing the mental health care of all traumatized citizens. Copyright © 2014 Lippincott Williams & Wilkins.","annotated bibliography; Arab Spring; Mental health; Middle East; trauma","Algeria; Arab; article; Bahrain; civil disorder; Comoros; cultural anthropology; Djibouti; domestic violence; Egypt; evidence based practice; human; Iraq; Jordan; Kuwait; Lebanon; Libyan Arab Jamahiriya; Mauritania; Medline; mental health; mental health care; mental health research; Oman; Palestine; PsycINFO; Qatar; Saudi Arabia; sexual violence; Sudan; Syrian Arab Republic; systematic review; torture survivor; Tunisia; United Arab Emirates; victim; violence; Yemen; Adolescent; Adult; Aged; Arab World; Child; Child Abuse; Domestic Violence; Elder Abuse; Female; Health Knowledge, Attitudes, Practice; History, 21st Century; Humans; Male; Mental Health; Mental Health Services; Middle East; Rape; Social Change; Stress Disorders, Post-Traumatic; Survivors; Torture; Violence; Wounds and Injuries",,,00223018,,JNMDA,25126755,"English",Article,Scopus,2-s2.0-84907423760
"Determinants of infant formula use and relation with growth in the first 4 months","Maternal and Child Nutrition",10.1111/j.1740-8709.2012.00415.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897021275&doi=10.1111%2fj.1740-8709.2012.00415.x&partnerID=40&md5=32175cd80c540945bdf788c4d538668c","INSERM, CESP, Centre for Research in Epidemiology and Population Health, U1018, Epidemiology of Diabetes, Obesity and Chronic Kidney Disease Over the Life Course, Villejuif, France; Paris Sud 11 University, UMRS 1018, Villejuif, France; INSERM, CIC 0802, Clinical Investigation Centre, University hospital, Poitiers, France; INSERM, UMRS 953, Epidemiological Research Unit on Perinatal Health and Women's and Children's Health, Villejuif, France; UPMC, Paris 06 University, Paris, France","The wide variety of infant formula available on the market can be confusing for parents and physicians. We aimed to determine associations between predominant type of formula used from birth to 4 months and parental and child characteristics and type of physician consulted, and then to describe relations between type of formula used and growth. Our analyses included 1349 infants from the EDEN mother-child cohort. Infant's feeding mode and type of formula used were assessed at 4 months by maternal self-report. Infant's weight and height from birth to 4 months, measured in routine follow-up, were documented by health professionals in the infant's personal health record. Anthropometric z-scores were calculated by using World Health Organization growth standards. Multinomial logistic regression was used to identify factors associated with the type of formula predominantly used; relations with growth were analysed by linear regressions. Partially hydrolysed formulas were more likely to be used by primiparous women (P<0.001), those breastfeeding longer (P<0.001) and for infants with family history of allergies (P=0.002). Thickened formulas were more often used by mothers returning to employment in the first 4 months (P=0.05) and breastfeeding shortly (P<0.001). No significant relation was found between infant's growth and type of formula (P>0.20). Infants breastfed shorter showed higher weight-for-age (P<0.001) and length-for-age (P=0.001) z-score changes between birth and 4 months. The use of a specific type of infant formula seems to be mainly related to parental characteristics. Infant's growth in the first 4 months is related to other factors than to the type of formula used. © 2012 John Wiley & Sons Ltd.","Breastfeeding; Formula feeding; Growth; Infant; Longitudinal study; Socio-demographic factors","adult; allergy; article; artificial milk; birth weight; body height; breast feeding; child growth; employment; family history; female; follow up; health practitioner; human; infant; infant feeding; priority journal; world health organization; administration and dosage; adolescent; artificial milk; child development; infant nutrition; longitudinal study; male; middle aged; newborn; parity; physiology; pregnancy; prospective study; socioeconomics; statistical model; young adult; Adolescent; Adult; Breast Feeding; Child Development; Female; Follow-Up Studies; Humans; Infant; Infant Formula; Infant Nutritional Physiological Phenomena; Infant, Newborn; Linear Models; Logistic Models; Longitudinal Studies; Male; Middle Aged; Parity; Pregnancy; Prospective Studies; Socioeconomic Factors; Young Adult",,,17408695,,,22642271,"English",Article,Scopus,2-s2.0-84897021275
"Dance of Orientalisms and waves of catastrophes: culturalism and pragmatism in imperial approaches to Islam and the Middle East","Third World Quarterly",10.1080/01436597.2014.971563,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911095519&doi=10.1080%2f01436597.2014.971563&partnerID=40&md5=15bf130b32a1db8b69dc73623c835f0c","Department of Politics and Public Administration, Ryerson University, Toronto, Canada","This article focuses on a seeming contradiction between ‘Islamophobic’ and ‘Islamophilic’ approaches in contemporary Western policies and discourses on the Middle East. While Islamophobia continues to shape some domestic policies of Western states and provide ideological justification for the wars they wage abroad, ‘Islamophilic’ tendencies in foreign policy have also emerged, especially in responses to the ‘Arab Spring’. Not clearly noted in Western public discourse, this represents a historical continuation of Western support for Islamism common during the Cold War, but is also a shift from the Islamophobic discourse of the post-cold war period, especially since 9/11. While Islamophobic and Islamophilic discourses may appear to be opposites, the paper argues that they represent two sides of the Orientalist logic, continuing to reduce understanding of Middle Eastern societies and politics to a culturalist dimension. Unlike traditional Orientalism, they treat Middle Eastern people as political subjects, but approach them as defined by their culture and religion. They define ‘moderate’ Islamism as the typical (and preferred) politics of the people of the region. Focusing on specific recent developments, the paper suggests that, rather than paving the way to more peaceful relations with the region or to internal peace and stability there, the Islamophilic shift in Western policy may rather lead to new waves of catastrophes by further destabilising and fragmenting the region, threatening to evoke new waves of Islamophobia in the West. © 2014, © 2014 Southseries Inc., www.thirdworldquarterly.com.","Islamophilia; Islamophobia; Orientalism; US foreign policy; war on terror; ‘Arab Spring’; ‘moderate Islam’","Arab world; Cold War; cultural history; foreign policy; historical perspective; Islamism; religion; Middle East",,,01436597,,,,"English",Article,Scopus,2-s2.0-84911095519
"Association of polypharmacy with fall-related fractures in older Taiwanese people: Age- and gender-specific analyses","BMJ Open",10.1136/bmjopen-2013-004428,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897492408&doi=10.1136%2fbmjopen-2013-004428&partnerID=40&md5=282483960390a27b185cdb2ca256a43e","Department of Nursing, Tri-Service General Hospital, Taipei, Taiwan; School of Nursing, National Defense Medical Center, Taipei, Taiwan; Graduate Institute and Department of Public Health, College of Medicine, National Cheng Kung University, Tainan, Taiwan; Department of Public Health, College of Public Health, China Medical University, Taichung, Taiwan; Department of Family Medicine, Taipei Veterans General Hospital, Taipei, Taiwan; Department of Psychiatry, Taipei Veterans General Hospital, Taipei, Taiwan; Department of Nursing, Taipei Veterans General Hospital, Taipei, Taiwan; School of Nursing, National Yang-Ming University, Taipei, Taiwan","Objective: To elucidate the associations between polypharmacy and age- and gender-specific risks of admission for fall-related fractures. Design: Nested case-control study. Setting: This analysis was randomly selected from all elderly beneficiaries in 2007-2008, and represents some 30% of the whole older insurers using Taiwan's National Health Insurance Research Database. Participants: We identified 5933 cases newly admitted for fall-related fractures during 2007-2008, and 29 665 random controls free from fracture. Primary and secondary outcome measures: Polypharmacy was defined as the use of fall-related drugs of four or more categories of medications and prescribed related to fall within a 1-year period. Logistic regression models were employed to estimate the ORs and related 95% CIs. The interaction of polypharmacy with age and sex was assessed separately. Results: Compared with those who consumed no category of medication, older people who consumed 1, 2, 3 and ≥4 categories of medications were all at significantly increased odds of developing fall-related fractures, with a significant dose-gradient pattern (β=0.7953; p for trend <0.0001). There were significant interactions between polypharmacy and age, but no significant interactions between polypharmacy and gender. The dose-gradient relationship between number of medications category and risk of fall-related fractures was more obvious in women than in men (β=0.1962 vs β=0.1873). Additionally, it was most evident in older people aged 75-84 years (β=0.2338). Conclusions: This population-based study in Taiwan confirms the link between polypharmacy and increased risk of fall-related fractures in older people; and highlights that elderly women and older people aged 75-84 years will be the targeted participants for further prevention from fall-related fractures caused by polypharmacy.",,"antiarrhythmic agent; anticoagulant agent; anticonvulsive agent; antidepressant agent; antidiabetic agent; antihypertensive agent; antiparkinson agent; anxiolytic agent; cardiac glycoside; diuretic agent; gastrointestinal agent; hypnotic sedative agent; insulin; neuroleptic agent; nitrate; nonsteroid antiinflammatory agent; opiate; vitamin; prescription drug; age; aged; article; case control study; controlled study; disease association; fall related fracture; falling; female; fracture; hospital admission; human; major clinical study; male; medical history; national health insurance; polypharmacy; prescription; risk assessment; risk factor; sex; Taiwan; world health organization; Fractures, Bone; hospitalization; odds ratio; sex difference; statistical model; very elderly; Accidental Falls; Aged; Aged, 80 and over; Case-Control Studies; Female; Fractures, Bone; Hospitalization; Humans; Logistic Models; Male; Odds Ratio; Polypharmacy; Prescription Drugs; Risk Factors; Sex Factors; Taiwan",,,20446055,,,24682575,"English",Article,Scopus,2-s2.0-84897492408
"Mao in the middle east: Hadi al-'Alawi, Scion of the two civilizations","Middle East Report",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902688900&partnerID=40&md5=f93acad430efdec7d8b6f7dbc0fe2b35","Gulf Research Center, Silk Road Associates, United States","The article describes how the People's Republic of China began to host a small community of Arab scholars and journalists, recruited mostly through 'revolutionary' channels like the FLN, the PLO, and the Iraqi and Sudanese Communist Parties. It was in the 1960s that aI-'Alawi began his career as a prolific writer, exploring turath through a new prism that highlighted its 'subversive' elements, particularly with regard to class conflict, the role of the intellectual and his relation to the state, the relationship between language and the subconscious, anti-clericalism, history and myth, feminism, the modernization of the Arabic language and, later, the necessity of spiritualizing or indigenizing the application of communism. Al-Alawi was initially appreciative of China's Maoist model of communism because of what he saw as its successful reconciliation of Chinese traditional culture (oral and textual) with scientific Marxism. This synthesis, he believed, allowed Maoism to overcome the country's essential challenge of feeding its people and achieving industrialization, as embodied in the Great Leap Forward.",,"Arab world; civilization; communism; cultural tradition; feminism; modernization; party politics; social history; China; Middle East",,,08992851,,,,"English",Article,Scopus,2-s2.0-84902688900
"Timeline generation: Tracking individuals on Twitter","WWW 2014 - Proceedings of the 23rd International Conference on World Wide Web",10.1145/2566486.2567969,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84909578726&doi=10.1145%2f2566486.2567969&partnerID=40&md5=b9679eaab162eb1db2c3104ec7e8f87c","School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, United States; Department of Computer Science, Cornell University, Ithaca, NY, United States","In this paper, we preliminarily learn the problem of reconstructing users' life history based on the their Twitter stream and proposed an unsupervised framework that create a chronological list for personal important events (PIE) of individuals. By analyzing individual tweet collections, we find that what are suitable for inclusion in the personal timeline should be tweets talking about personal (as opposed to public) and time-specific (as opposed to time-general) topics. To further extract these types of topics, we introduce a non-parametric multi-level Dirichlet Process model to recognize four types of tweets: personal time-specific (PersonTS), personal time-general (PersonTG), public time-specific (PublicTS) and public time-general (PublicTG) topics, which, in turn, are used for further personal event extraction and timeline generation. To the best of our knowledge, this is the first work focused on the generation of timeline for individuals from Twitter data. For evaluation, we have built gold standard timelines that contain PIE related events from 20 ordinary twitter users and 20 celebrities. Experimental results demonstrate that it is feasible to automatically extract chronological timelines for Twitter users from their tweet collection 1. Copyright is held by the International World Wide Web Conference Committee (IW3C2).","Dirichlet process; Individual timeline generation; Twitter","Data mining; World Wide Web; Dirichlet process; Event extraction; Gold standards; Individual timeline generation; Life history; Non-parametric; Twitter; Social networking (online)","DARPA, Google; BCS-0904822, NSF, Google; Google",,,9781450327442,,,"English",Conference Paper,Scopus,2-s2.0-84909578726
"""mission and Evangelism"" (1982) and ""together Towards Life"" (2013): A Comparitive Analysis of the Two Mission Position Statements of the World Council of Churches","Exchange",10.1163/1572543X-12341328,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939424219&doi=10.1163%2f1572543X-12341328&partnerID=40&md5=c8655295d7df82f288ddbc7a59582702","Utrecht University, Netherlands","Since its establishment in 1948 the World Council of Churches (wcc) has produced and approved two position statements on mission and evangelism: Mission and Evangelism: An Ecumenical Affirmation (1982); and Together towards Life: Mission and Evangelism in Changing Landscapes (2012). This article compares and analyses these documents. It deals with six selected topics: vocabulary; (primary) sources; the connection between world history and mission and church history; systematic mission theology (especially the doctrine of the Trinity); mission spirituality; and the encounter with the adherents of other religions and beliefs. Both documents make the World Council and its member churches more aware of the missionary obligation. The main difference between the documents is the shift from a Christ-centered to a Spirit-centered view on mission and evangelism. © Koninklijke Brill NV, Leiden, The Netherlands.","encounter with other religions and beliefs; history; mission documents; spirituality; systematic theology; Trinity; World Council of Churches",,,,01662740,,,,"English",Article,Scopus,2-s2.0-84939424219
