Source title,DOI,Link,Affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,EID
"Meditsina Truda I Promyshlennaya Ekologiya",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026886478&partnerID=40&md5=5a219b1a82b269b7ed735adb4e70ad0c","Inst Gigieny Truda i Profzabolevanij, RA MN, Moscow, Russian Federation","Inhibition of tissue oxygenation of rat liver homogenate by caprone burning products was studied. Potentialities of correcting tissue oxygenation by methaemoglobine solution were studied. Complex of caprone combustion products caused inhibition of tissue separating oxidation and phosphysation processes. Introduction of methaemoglobine solution resulted in normalization of tissue oxygenation and accelerated cytochrome oxidase reactivation. Methaemoglobine displayed antidotal effect influencing pathogenetic intoxication mechanism.",,"Biomedical engineering; Blood; Experiments; Functional assessment; Organic chemicals; Protection; Solutions; Tissue; Methaemoglobine; Living systems studies; antidote; caprolactam; hydroxyprogesterone caproate; methemoglobin; animal; article; dose response; drug effect; drug screening; female; human; intoxication; liver; metabolism; oxygen consumption; rat; rat strain; solution and solubility; Animal; Antidotes; Caprolactam; Dose-Response Relationship, Drug; Drug Evaluation, Preclinical; Female; Human; Liver; Methemoglobin; Oxygen Consumption; Poisoning; Rats; Rats, Wistar; Solutions",,,00169919,,GTPZA,1296916,"Russian",2-s2.0-0026886478
"Meditsina Truda I Promyshlennaya Ekologiya",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027023297&partnerID=40&md5=3fb12c9d58d3e7309ee4481fa96ee0f3","Meditsinskij Inst, Omsk, Russian Federation","One-digital parameters of intensity and time of noise and vibration effect on the man were obtained. The parameters permitted to forecast probability of hearing injuries and vibration disease development. The parameters could be used as biological shift and length of service doses of noise and vibration. From shift biodoses the probability of hearing injury and development of vibration disease could be calculated in case of various duration of operation under the presented conditions. From length of service biodoses length of service for the preset probability of development of hearing injury and vibration disease was calculated.",,"Biological materials; Biomedical engineering; Blood; Forecasting; Living systems studies; Mathematical models; Noise pollution; Statistical methods; Tissue; Vibration control; Occupational hearing injury; Occupational noise exposure; Occupational vibration exposure; Occupational vibration sickness; Environmental impact; article; human; industrial noise; maximum allowable concentration; noise injury; occupational disease; probability; prognosis; time; vibration; Hearing Loss, Noise-Induced; Human; Maximum Allowable Concentration; Noise, Occupational; Occupational Diseases; Probability; Prognosis; Time Factors; Vibration",,,00169919,,GTPZA,1296915,"Russian",2-s2.0-0027023297
"Meditsina Truda I Promyshlennaya Ekologiya",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026855035&partnerID=40&md5=57f6ec1681ea158fbced3119ba390195","Voenno-Meditsinskaya Akademiya im., S.M. Kirova, St Petersburg, Russian Federation","Primary reactions of excitable tissue to the effect of energetic factors of low-intensity electromagnetic and mechanical nature were studied. Isolated pacemaker of frog's heart served as a model of excitable tissue. Millimeter radiowaves of 76.92 GHz frequency (extremely high frequency EHF) and ultrasound radiation of 5.76 PHz (USI) were used as influencing factors. In case of combined effect of EHF and USI of near-threshold intensities with wave length of 1 mm in the excitable tissue nonlinear superadditive type of summation of the induced effect was established.",,"Biological materials; Biomedical engineering; Efficiency; Electromagnetic waves; Experiments; Radiation effects; Risk assessment; Tissue; Ultrasonic applications; Ultrasonic waves; Excitable tissue; Frogs; Living systems studies",,,00169919,,GTPZA,,"Russian",2-s2.0-0026855035
"Meditsina Truda I Promyshlennaya Ekologiya",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026745983&partnerID=40&md5=e144a26778f9a9cdff8425662787dea7","Meditsinskij NTs Profilaktiki i, Okhrany Zdorov'ya Rabochikh, Prompredpriyatij, Sverdlovsk, Russian Federation","Multichamber toxicokinetic model studies of the resorption, distribution and excretion properties of poorly soluble substances in subchronic action of suspensions administered intragastrically can be the first step in prognosing the toxicokinetic properties of the inhaled aerosols of the substances mostly discharged from the respiratory into the gastrointestinal tract (GIT). The generally accepted quantitative characteristics of the particles' deposition and translocation into GIT could provide a further application of the model for a mathematical description of a prolonged inhalational exposure to some substances.",,"Biological materials; Biomedical engineering; Blood; Boron compounds; Data processing; Enzyme kinetics; Forecasting; Mathematical models; Metabolism; Pulmonary diseases; Tissue; Toxicity; Excretion; Respiration; Living systems studies; boric acid; boron; boron derivative; magnesium; magnesium borate; magnesium boride; air pollutant; animal; article; biological model; comparative study; male; rat; solubility; time; tissue distribution; Air Pollutants, Occupational; Animal; Borates; Boron; Boron Compounds; Comparative Study; English Abstract; Magnesium; Male; Models, Biological; Rats; Solubility; Time Factors; Tissue Distribution",,,00169919,,GTPZA,1427354,"Russian",2-s2.0-0026745983
"Meditsina Truda I Promyshlennaya Ekologiya",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026858964&partnerID=40&md5=d2a1a5c88f0a518d18e3d120e1a03192","Inst Sel'skoj Gigieny, Saratov, Russian Federation","Biological effect of mixed fodder dust of concentrations not exceeding MPC on the respiratory organs was studied. The dust concentration was kept at the level of 1 and 6 mg/m3. Chronic inhalation of low concentrations of dust was shown to produce exogenous allergic alveolitis in the experiments on laboratory animals. Fodder dust at the MPC level and below produced considerable changes of immune system in the form of allergic reaction of delayed type. The changes were directly dependent on dust concentration and duration of its effect.",,"Air pollution; Biological materials; Biomedical engineering; Blood; Data processing; Dust abatement; Dust control; Hemodynamics; Immunology; Morphology; Tissue; Allergic alveolites; Living systems studies",,,00169919,,GTPZA,,"Russian",2-s2.0-0026858964
"Medicinskaa radiologia",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026860841&partnerID=40&md5=3c791d8a96ac374c4474b26dfb89d90f","NII Oncologii i Meditsinskoj, Radiologii Minzdrav Belorussii, Minsk, Russian Federation","Acid-base equilibrium (ABE) in blood, pH in tumoral and normal tissues, cure of animals in induced hyperglycemia (IN), local hypoxia (LH), local hypoxia (LH) were studied. Irradiation was conducted with different doses, combination of various actions was used. It was shown that use of IH in combination with LH promoted superadditive drop in pH of blood and Walker's 256 carcinoma. Postradiation use of IH in combination with LH increase efficacy of irradiation more than 3 fold (TID=3.13). In vivo assumption was confirmed on importance of pH decrease and creation of hypoxia in tumour for modification of radiation injury in postradiation period.",,"Biological materials; Biomedical engineering; Blood; Cells; Data processing; Living systems studies; Modification; Oncology; Radiation effects; Radiotherapy; Risk assessment; Tissue; Hyperglycemia; Hypoxia; Radiation damage",,,00258334,,MERAA,,"Russian",2-s2.0-0026860841
"Radiobiologiya",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026858165&partnerID=40&md5=47dee6c6f81f279f5e33841b580c5239","Gosudarstvennyj Univ, Kiev, Russian Federation","The activity of enzymes of the antioxidation system and the content of some lipid peroxidation products in the liver and thymus of irradiated (0.21 C per kg) rats were investigated. Glutathione reductase and glutathione transferase activity in the liver and thymus of rats decreased during the first 24 h after irradiation. There was a phase change in the catalase activity during the initial postirradiation period. The content of malonic dialdehyde increased immediately after irradiation and somewhat decreased during the first 24 h. In 24 h, there observed a radiation-induced increase in the diene conjugate content in the liver and thymus of rats, against the background of low activity of such antioxidation system enzymes as glutathione transferase, glutatione reductase and catalase.",,"Biological materials; Biomedical engineering; Data processing; Electromagnetic waves; Enzymes; Lipids; Living systems studies; Radiation effects; Radiation hazards; Tissue; Antioxidation system; Radiation damage; catalase; glutathione reductase; glutathione transferase; malonaldehyde; animal; article; comparative study; enzymology; female; lipid peroxidation; liver; male; metabolism; radiation exposure; rat; rat strain; thymus; time; Animal; Catalase; Comparative Study; English Abstract; Female; Glutathione Reductase; Glutathione Transferase; Lipid Peroxidation; Liver; Male; Malondialdehyde; Rats; Rats, Inbred Strains; Thymus Gland; Time Factors",,,00338192,,RADOA,1496113,"Russian",2-s2.0-0026858165
"Medicinskaa radiologia",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026858228&partnerID=40&md5=15dbf58ead75393ba95608ad6f340540","MNIRRI Minzdrav RF, Moscow, Russian Federation","Radiation reactions of 110 patients with pulmonary carcinomas, irradiated according to the accelerated dose fractionation method, and of 102 patients exposed to the traditional low-dose fractionation mode are compared. Local radiation responses of the skin and total radiation reactions predominated in the group, administered the traditional treatment, whereas radiation-induced shifts of the esophageal and pulmonary tissue mucosa were more incident and severe in patients exposed to accelerated dose fractionation, but these shifts were negligible and did not prevent the planned therapy to be carried out.",,"Biological materials; Data processing; Electrocardiography; Human rehabilitation engineering; Morphology; Oncology; Patient treatment; Radiation effects; Radiotherapy; Skin; Tissue; Fractionated irradiation; Pulmonary carcinomas; Radiation damage",,,00258334,,MERAA,,"Russian",2-s2.0-0026858228
"Meditsina Truda I Promyshlennaya Ekologiya",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026840746&partnerID=40&md5=cabafb304841d6fe18c39e092e8efb94","TsOLIUV, Moscow, Russian Federation","References to different methods of cobalt detection in biologic material are given. Polarographic detection of cobalt in human urine and animal biologic material worked out by authors was used for evaluation of biologic MAC. Biologic material was limed by nitric and sulphuric acids. Sulphuric acid was carefully distilled off the burnt material. Mineralized material was dissolved in 10 ml of 1N hydrochloric acid, filtered and again steamed into moist salts. The method can be used for detection of cobalt in urine of workers contacting with the stated metal. Sensitivity of the method is 0.02 mkg/ml.",,"Biological materials; Errors; Human engineering; Hydrochloric acid; Living systems studies; Nitric acid; Polarographic analysis; Statistical methods; Sulfuric acid; Tissue; Toxicity; Human urine; Cobalt; cobalt; animal; article; chemistry; comparative study; human; liver; methodology; occupational medicine; polarography; Russian Federation; urine; Animal; Cobalt; Comparative Study; English Abstract; Human; Liver; Occupational Medicine; Polarography; Russia",,,00169919,,GTPZA,1478528,"Russian",2-s2.0-0026840746
"Medicinskaa radiologia",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026624348&partnerID=40&md5=0a3cb968ee188f7faad62564806cd59c","Vsesoyuznyj Nauchnyj Tsentr, Radiatsionnoj Meditsiny AMN SSSR, Kiev, Russian Federation","Evaluation of the health status of population exposed to radiation as a result of the Chernobyl accident is a problem of paramount importance. The results of demographic and epidemiologic surveys and clinical observations have shown that changes in the morbidity rates among children and adults at the strictly controlled districts in the Ukraine result not only from improved diagnostic service, but also from the after effects of the Chernobyl accident. A tendency to a growth of primary disease incidence among children and adults was established. Analysis of the results of follow-up of children has revealed an increased incidence of thyroid cancer. The accident caused an unfavorable demographic situation in the Republic.",,"Biological Materials - Tissue; Biomedical Engineering - Oncology; Human Engineering - Health Hazards; Nuclear Reactors - Core Disruptive Accident; Risk Studies - Public Risks; Chernobyl Accident; Risk Studies",,,00258334,,MERAA,,"Russian",2-s2.0-0026624348
"Medicinskaa radiologia",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026745704&partnerID=40&md5=c3a949715a9d623492892cbf6a226217","NII Meditsinskoj Radiologii AMN SSSR, Obninsk, Russian Federation","A study was made cancer morbidity (1989) of the population of the Chelyabinsk Region and on 5 territories, exposed to radioactive contamination. As compared to the whole of Russia, total cancer morbidity rates for Chelyabinsk are significantly high, including those of rectal, lung and skin cancer both in men and women. The rates of breast cancer and hemoblastosis morbidity in women were also high. Total cancer morbidity rates on the study territories were lower than the mean district indices. On the tentative territories lip cancer morbidity both in men and women was higher than the mean district indices; esophageal cancer morbidity rates in women on the same territories was rather high.",,"Biological Materials - Tissue; Biomedical Engineering - Oncology; Human Engineering - Health Hazards; Industrial Plants - Sanitation; Risk Studies - Public Risks; Cancer; Morbidity; Risk Studies",,,00258334,,MERAA,,"Russian",2-s2.0-0026745704
"Medicinskaa radiologia",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026627151&partnerID=40&md5=e0d70af79a950aefbe5e64f9bebe0b74","MNIRRI MINZDRAV RSFSR, Leningrad, Russian Federation","Analysis of morbidity rates of the population in a territory with a high level of 131Cs (over 5 Cl per km2) revealed an increased incidence of nodular goitre and thyroiditis. This analysis covers a 5-year period after the Chernobyl accident. Mass screening by ultrasonic scanning was employed. Higher incidence of psychic disorders and diseases of the hemopoietic organs is explained by a chronic stress developing because of constant restrictions in community behaviour regulations. Dispensary data on a number of population in controlled territories of the Bryansk Region were presented, as population residing in territory of West areas of the Bryansk Region referred to risk group according to development of malignant tumours of thyroid, lungs, mammary gland. Comparative evaluation of morbidity rates over 1990 in Bryansk region as a whole, its West areas and RSFSR was suggested.",,"Biological Materials - Blood; Biological Materials - Tissue; Human Engineering - Health Hazards; Nuclear Reactors - Core Disruptive Accident; Risk Studies - Public Risks; Chernobyl Accident; Risk Studies",,,00258334,,MERAA,,"Russian",2-s2.0-0026627151
"Medicinskaa radiologia",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026265387&partnerID=40&md5=6d4ddc241e115eb7527129eaf402ef32","TsOLIUV, Moscow, Russian Federation","Altogether 19 patients with chronic laryngo- and tracheostenosis of different etiology were investigated. All the patients were broken into 3 groups (1 - less than 1 year, 2 - 1-3 years, 3 - over 3 years) with regard to the time of canulla bearing. The patients were examined with 99mTc-human serum albumin particles. Major disorders in the capillary blood supply of both lungs were detected. These changes were focal-diffuse. Abnormalities were mainly observed in the apical area of both lungs and in the mediastinal zone. Redistribution of the pulmonary blood supply in the direction of the upper parts of the lungs was revealed. Lung abnormalities increased depending on the time of canulla bearing.",,"Biological Materials - Tissue; Biomedical Engineering - Patient Monitoring; Biomedical Equipment - Radionuclides; Data Processing - Medical Information; Drug Products - Pharmacokinetics; Blood Flow; Lungs; Tracheostenosis; Biomedical Engineering; diagnostic agent; macrosalb tc 99m; adult; article; blood flow; capillary; case report; chronic disease; comparative study; endotracheal intubation; female; human; larynx stenosis; lung; male; pathophysiology; scintiscanning; trachea stenosis; vascularization; Adult; Capillaries; Case Report; Chronic Disease; Comparative Study; English Abstract; Female; Human; Intubation, Intratracheal; Laryngostenosis; Lung; Male; Middle Age; Regional Blood Flow; Technetium Tc 99m Aggregated Albumin; Tracheal Stenosis",,,00258334,,MERAA,,"Russian",2-s2.0-0026265387
"Medicinskaa radiologia",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026294648&partnerID=40&md5=fbc4ee837f57f6bb2560117c5fd685ab","Moskovskaya Meditsinskaya Akademiya, im. I.M. Sechenova, Moscow, Russian Federation","The paper is concerned with some methodological aspects of ultrasound investigation of the liver, portal veins and the spleen, the importance of this investigation for the detection, differential diagnosis and follow-up of patients with various chronic diffuse liver diseases.",,"Biological Materials - Tissue; Biomedical Engineering - Diagnosis; Biomedical Engineering - Living Systems Studies; Blood Vessels; Data Processing - Medical Information; Chronic diffuse liver diseases; Livers; Spleen; Ultrasonic Waves; chronic disease; comparative study; differential diagnosis; echography; hepatic artery; human; liver; liver disease; liver vein; portal vein; review; spleen; vascularization; Chronic Disease; Comparative Study; Diagnosis, Differential; English Abstract; Hepatic Artery; Hepatic Veins; Human; Liver; Liver Diseases; Portal Vein; Spleen",,,00258334,,MERAA,1749334,"Russian",2-s2.0-0026294648
"Medicinskaa radiologia",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026266001&partnerID=40&md5=f46e71ebd09fb19a718382fa2a02da53","Moskovskij Meditsinskij, Stomatologicheskij Inst im. N.A., Semashko, Moscow, Russian Federation","Gamma-beam therapy of cancer patients is accompanied by general and local radiation reactions, their degree depending on numerous factors (a tumor site, an area of irradiated tissues and value of a total absorbed dose). Preventive and therapeutic measures during radiotherapy allow the reduction of severity of a course of general and local radiation reactions.",,"Biological Materials - Tissue; Biomedical Engineering - Oncology; Radiation Damage - Radiation Protection; Radiation Effects; Risk Studies - Health Risks; Symptoms; Total Absorbed Dose; Tumor Site; Biomedical Engineering; article; gamma radiation; human; methodology; neoplasm; radiation injury; radioisotope therapy; English Abstract; Gamma Rays; Human; Neoplasms; Radiation Injuries; Radioisotope Teletherapy",,,00258334,,MERAA,1749332,"Russian",2-s2.0-0026266001
"Medicinskaa radiologia",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026311053&partnerID=40&md5=31f283ca37eb0d2f948d48d8e3330bcd","Tsentral'nyj NI, Rentgenoradiologicheskij Inst, MINZDRAV SSSR, Leningrad, Russian Federation","The paper is concerned with physicotechnical and dosimetric support of technology of therapeutic whole-body irradiation on a serial gamma-apparatus Rocus, with which a majority of radiological institutions in the USSR are fit out. Technology consists of the following procedures: patient positioning with relation to a source with a horizontal axis of radiation; correction of dose distribution by means of a three-element compensator taking into account patient's constitutional peculiarities and preradiation preparation data; double irradiation in the bilateral regimen in the supine position.",,"Biological Materials - Tissue; Biomedical Engineering - Radiotherapy; Data Processing - Medical Information; Radiation Protection - Monitoring; Radioactivity Measurement - Control; Phantomes; Whole-Body Iradiation; Dosimetry; article; audiovisual equipment; filtration; gamma radiation; human; instrumentation; mathematics; methodology; radiation; radiation dose; radiology; USSR; whole body radiation; English Abstract; Filtration; Gamma Rays; Human; Mathematics; Models, Structural; Radiation; Radiotherapy Dosage; Technology, Radiologic; USSR; Whole-Body Irradiation",,,00258334,,MERAA,1749329,"Russian",2-s2.0-0026311053
"Meditsina Truda I Promyshlennaya Ekologiya",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026383494&partnerID=40&md5=59d70b4e0e31bd5dd7fec96467c74b36","Sanitarno-Gigienicheskij, Meditsinskij Inst, St. Petersburg, Russian Federation","Effect of dust of synthetic detergent (SD) on the status of upper respiratory organs of the workers was studied. 99 workers 20-55 aged were subjected to otolaringological examination. Dust of SD produced mainly catarrh changes of the upper respiratory organs in workers with small experience of work and it affected the functional state of the organs. In workers with prolonged experience of work (from 1 up to 5 years and above) the catarrh phenomena turned into atrophy and that resulted in development of vasomator injuries. Barrier and detoxification functions of ciliated epithelium of nasal cavity was disturbed in workers under the effect of SD dust. The process promoted changes of local blood circulation and penetration of dust particles into the bronchi.",,"Air Pollution - Control; Biological Materials - Tissue; Biomedical Engineering - Diagnosis; Industrial Hygiene - Health Hazards; Occupational Diseases - Pulmonary; Medical Surveillance; Personnel",,,00169919,,GTPZA,,"Russian",2-s2.0-0026383494
"Meditsina Truda I Promyshlennaya Ekologiya",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026373986&partnerID=40&md5=ff4175fdaa90e670a8ca68ab937d288a","Vsesoyuznyj Nauchnyj Tsentr, Radiatsionnoj Meditsiny AMN SSSR, Kiev, Russian Federation","The radioprotective properties of pectin-vitamin powder (PVP) were investigated. PVP was prepared from dry citrus (lemon, orange) peels by special technology. Besides unavailable carbohydrates, it contains pectin (more than 15%), vitamins B, C, P, PP, mineral components. PVP effectively protected from incorporation of radionuclides contained in food products. The blocking effect of PVP was found essentially higher than that of sodium alginate or dry pectins. The optimal daily dose was experimentally defined.",,"Biological Materials - Tissue; Biomedical Equipment - Radionuclides; Protective Coatings - Hazards; Radiation Damage - Recovery; Radiation Protection - Medical Applications; Radioprotective Substances; Biomedical Engineering",,,00169919,,GTPZA,,"Russian",2-s2.0-0026373986
"Medicinskaa radiologia",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025985338&partnerID=40&md5=e950a8f79618679a3a53ad92e6c0849e","Moskovskij Nauchno-Issledovatel'skij, Onkologicheskij Inst im. P.A., Gertsena, Moscow, Russian Federation","A study was made of the cytological criteria of various degrees of radiation pathomorphosis of soft tissue cancers and sarcomas in different dose fractionation regiments and varying time of a preoperative interval. Combinations of the main and additional parenchymatous and stromal cytological signs, reflecting pathomorphosis of 1-1Y degrees were singled out. Schemes of cytological prediction of a direct effect of tumor radiation exposure were drawn up on the basis of regularities of changes in cellular pictures, obtained from diagnostic data before irradiation.",,"Biological Materials - Tissue; Biomedical Engineering - Radiotherapy; Electromagnetic Waves - Radiation Hazards; Human Rehabilitation Engineering - Prediction; Radiation Damage; Biomedical Engineering; article; breast tumor; cytology; female; human; pathology; prognosis; radiation dose; sarcoma; soft tissue tumor; Breast Neoplasms; Cytological Techniques; English Abstract; Female; Human; Prognosis; Radiation Tolerance; Radiotherapy Dosage; Sarcoma; Soft Tissue Neoplasms",,,00258334,,MERAA,1943563,"Russian",2-s2.0-0025985338
"Meditsinskaya Radiologiya",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026261918&partnerID=40&md5=6324a90d942b785d49c904755322daf3","Tsentral'nyj NI Rentgeno-Radiologicheskij Institut Minzdrava SSSR, Leningrad, Russia","Experiments have shown that percent ratio of sodium iodate and iodide (123I) administered per os produces no marked effect on iodine absorption by the thyroid within the interval of 2-24 hours after its administration.Experiments have shown that percent ratio of sodium iodate and iodide (123) administered per os produces no marked effect on iodine absorption by the thyroid within the interval of 2-24 hours after its administration.It is shown that under peroral administration of iodine into animal organism oxidation-reduction processes in oral cavity, stomach and blood take place, which cause significant changes in initial ratio of administered iodine forms. It is emphasized that the form of iodine administration into organism under peroral use of preparation has no marked effect.",,"Biological Materials - Tissue; Biomedical Engineering - Endocrinology; Biomedical Equipment - Radionuclides; Human Engineering; Iodine Compounds - Medical Applications; Iodine Absorbtion; Thyroid; Biomedical Engineering; iodine 123; radioactive iodine; sodium iodide; article; drug absorption; human; oral drug administration; thyroid gland; absorption; animal; isolation and purification; male; metabolism; mouse; rabbit; thyroid gland; time; tissue distribution; Absorption; Administration, Oral; Animal; English Abstract; Iodine Radioisotopes; Male; Mice; Rabbits; Sodium Iodide; Thyroid Gland; Time Factors; Tissue Distribution",,,00258334,,MERAA,1943569,"Russian",2-s2.0-0026261918
"Medicinskaa radiologia",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025931541&partnerID=40&md5=6ce813f6aa167fc57673eca4ead68e46","Moskovskij Nauchno-Issledovatel'skij, Onkologicheskij Inst im. P.A., Gertsena, Moscow, Russian Federation","The purpose of this paper is to consider a number of biological and clinicomorphological signs of human tumors which influence the prediction of a course of disease as well as prognosis of a tumor response to radiation exposure. Analysis of the literature has shown that some factors of quite a favourable course of a tumor process are likely to be the signs of clinical radioresistance of the tumor. A strong pssibility of individual prognosis of a tumor response to radiation theraphy was shown for oropharyngeal and stomach tumors even at its onset, guided by change in the level of their proliferative activity, determined with an indirect immunofluorescent rapid method. The probability of detecting tumors, which are clincally radioresistant to proposed therapy, is 82.4-95%.",,"Biological Materials - Tissue; Biomedical Engineering - Radiotherapy; Forecasting; Human Rehabilitation Engineering - Prediction; Radiation Effects - Morphology; Radiosensitivity; Tumors; Biomedical Engineering; article; human; lymph node metastasis; mortality; neoplasm; pathology; prognosis; radiation dose; remission; English Abstract; Human; Lymphatic Metastasis; Neoplasms; Prognosis; Radiation Tolerance; Remission Induction",,,00258334,,MERAA,1943562,"Russian",2-s2.0-0025931541
"Medicinskaa radiologia",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026260041&partnerID=40&md5=84c0e041600f25d99c3913312b027867","Moskovskij Nauchno-Issledovatel'skij, Onkologicheskij Inst im. P.A., Gertsena, Moscow, Russian Federation","A tumor response to chemoradiotherapy was studied in 260 patients with small-cell lung carcinoma in situ on the basis of clinical parameters using different regiments of dose fractionation and various levels of total focal doses. Nonclassical irradiation regiments were found superior to routine dose fractonation. At present it seems improbable to predict a responce of small-cell lung carcinoma to irradiation and polychemotherapy on the basis of clinical parameters in each individual case. A varied response of small-cell cancer to conservative antitumor therapy is likely to be determined by its morphological, biological and genetic heterogeneity.",,"Biological Materials - Tissue; Biomedical Engineering - Radiotherapy; Human Rehabilitation Engineering - Prediction; Radiation Effects - Modification; Carcinomas; Chemoradiotherapy; Lungs; Biomedical Engineering; antineoplastic agent; article; comparative study; human; lung tumor; lymph node metastasis; mortality; multimodality cancer therapy; prognosis; radiation dose; remission; small cell carcinoma; tumor recurrence; Antineoplastic Agents; Carcinoma, Small Cell; Combined Modality Therapy; Comparative Study; English Abstract; Human; Lung Neoplasms; Lymphatic Metastasis; Neoplasm Recurrence, Local; Prognosis; Radiation Tolerance; Radiotherapy Dosage; Remission Induction",,,00258334,,MERAA,1658530,"Russian",2-s2.0-0026260041
"Medicinskaa radiologia",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026258231&partnerID=40&md5=c89d8d241465e58c92a576ee96ba10c1","Kazakhskij NII Onkologii i, Radiologii, Alma-Ata, Russian Federation","The paper is concered with analysis of the survival of 385 lung cancer patients with roentgenologically measured nodular tumor type, verified diagnosis. The patients were followed up for 5-6 years. The effect of tumor growth rates on the survival rates was shown to be the result of the use of various therapeutic methods or their absence. The results suggest that by tumor growth rates, assessed before treatment, one can predict, in most cases, a tumor response to one or another therapeutic method. On the basis of these results an adequate method can be chosen for each individual case.",,"Biological Materials - Tissue; Biomedical Engineering - Radiotherapy; Human Engineering; Radiation Effects - Modification; Carcinoma; Lungs; Tumor Grown; Biomedical Engineering; adenocarcinoma; adult; aged; article; comparative study; female; human; illness behavior; lung non small cell cancer; lung tumor; male; methodology; mortality; multimodality cancer therapy; pathophysiology; patient care; small cell carcinoma; squamous cell carcinoma; Adenocarcinoma; Adult; Aged; Carcinoma, Non-Small-Cell Lung; Carcinoma, Small Cell; Carcinoma, Squamous Cell; Combined Modality Therapy; Comparative Study; English Abstract; Female; Human; Lung Neoplasms; Male; Middle Age; Patient Care Planning; Treatment Refusal",,,00258334,,MERAA,1658531,"Russian",2-s2.0-0026258231
"Medicinskaa radiologia",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026037768&partnerID=40&md5=ffcfd2d6afc55e66401946776b3989b9","Moskovskij Nauchno-Issledovatel'skij, Onkologicheskij Inst im. P.A., Gertsena, Moscow, Russian Federation","In order to determine the prognostic value of a 'subcapsular test' in assessment of individual sensitivity of lung tumors to antitumor action, research was conducted into the histological structure of 18 human lung tumors and 110 grafts of these tumors, which had grown within 6 days under the renal capsule in mice under the immunosuppressed condition, caused by whole-body irradiation. The presence of necrosis in an original tumor led to connective tissue growth in grafts. The stroma per parenchyma ratio in grafts was increased as compared to original tumors. Lymphoid infiltration in 6-day grafts was, as a rule, unmarked. In 2 of 18 cases histotypes of a primary tumor and its grafts differed, i.e. the 'subcapsular test' could be used to detect latent polymorphism of lung tumors. Correct prognosis of an individual response of human lung tumors to antitumor action with the 'subcapsular test' also necessitated histological verification of the results.",,"Biological Materials - Tissue; Biomedical Engineering - Oncology; Human Rehabilitation Engineering - Prediction; Immunology - Graft vs. Host Reaction; Histological Features; Lungs; Prognosis; Tumors; Biomedical Engineering; animal; article; cancer transplantation; comparative study; drug screening; human; immunological tolerance; kidney tumor; lung tumor; male; mouse; mouse strain; pathology; prognosis; radiation exposure; time; Animal; Comparative Study; English Abstract; Human; Immune Tolerance; Kidney Neoplasms; Lung Neoplasms; Male; Mice; Mice, Inbred CBA; Neoplasm Transplantation; Prognosis; Subrenal Capsule Assay; Time Factors",,,00258334,,MERAA,1943564,"Russian",2-s2.0-0026037768
"Medicinskaa radiologia",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025928237&partnerID=40&md5=3c09deb0105dbf501ad662b5165d5c6e","Moskovskij Nauchno-Issledovatel'skij, Onkologicheskij Inst im. P.A., Gertsena, Moscow, Russian Federation","The authors resorded to multifactor comparative analysis of the results of surgical (218) and combined (413) treatment of patients with thoracic esophageal cancer to study the interrelationship of the main factors, determining a cancer stage, their prognostic value, and a degree of influence of preoperative modalitites on these factors. Preoperative irradiation was shown to increase resectability of the esophagus with tumor extent over 5 cm and to improve the prognosis of disease.",,"Biological Materials - Tissue; Biomedical Engineering - Surgery Applications; Radiation Effects - Modification; Esophageal Cancer; Preoperative Irradiation; Biomedical Engineering; article; cancer invasion; cancer staging; comparative study; esophagus; esophagus tumor; human; metastasis; mortality; multimodality cancer therapy; multivariate analysis; pathology; preoperative care; prognosis; Combined Modality Therapy; Comparative Study; English Abstract; Esophageal Neoplasms; Esophagus; Human; Multivariate Analysis; Neoplasm Invasiveness; Neoplasm Metastasis; Neoplasm Staging; Preoperative Care; Prognosis",,,00258334,,MERAA,1943565,"Russian",2-s2.0-0025928237
